date,PID,session,condition,sex,age,colony,cohort,normal_weight,weight,food_consumed,depleted_A,depleted_B,depleted_high,depleted_low,status,visit_order,visit_order_noself,current_order,alternative_order,location,elevation,transition_self,visit_length,visit_latency,total_latency,travel_time,head_disp,head_speed,peck_count,peck_rate,IPI_entropy,IPI_rmssd,IPD_entropy,IPD_rmssd,travel_dist,travel_speed,cum_visit_length,cum_visits,cum_head_disp,cum_peck_count,cum_travel_dist,cum_travel_time,alt_cum_visit_length,alt_cum_visits,alt_cum_head_disp,alt_cum_peck_count,alt_cum_travel_dist,alt_cum_travel_time
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,3,1,3,0,platform B,0.0,1,117.68,4.34,93.6,1.09,16464.499302348355,15.879199354692076,43.0,0.3653666411759708,0.9829007277151564,3.272760593865965,1.191537787327448,155.66219690674887,81.45757236534433,5.507090177937667,200.14,3,30148.33285833119,72.0,3516.415202702029,11.14,0.0,0,0.0,0.0,0.0,0.0
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,3,1,3,0,platform B,0.0,1,43.27500924442286,4.34,93.6,1.09,5760.608013966019,13.794502921622223,16.0,0.3696003696003695,0.8823109245150755,2.3649538402824413,1.0832550105185086,118.9183690465896,81.45757236534433,5.507090177937667,122.58467586974888,8,39048.33802128667,95.0,9621.275426639522,51.53000000000001,0.0,0,0.0,0.0,0.0,0.0
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,4,1,4,0,platform B,0.0,1,80.53,120.44,214.04,2.76,11590.8748879887,16.90724215537625,27.0,0.3352371492426123,0.9727696382494828,3.826800732485799,1.0695416913993137,125.55122706985892,499.7423455000758,11.337614466987848,280.67,4,41739.20774631989,99.0,4016.157548202105,13.9,0.0,0,0.0,0.0,0.0,0.0
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,4,1,4,0,platform B,0.0,1,44.41221579242913,120.44,214.04,2.76,5874.349669760606,15.097010262246114,15.0,0.3376857271499325,0.8921178708188162,3.1050201287592323,1.0042424730540764,109.46500417169592,499.7423455000758,11.337614466987848,66.94211442824609,6,20230.27031931255,40.0,9482.801146512811,46.73,0.0,0,0.0,0.0,0.0,0.0
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,5,1,5,0,platform B,0.0,1,9.45,82.32,296.36,1.79,1431.7934647926377,16.15957023755912,4.0,0.4228329809725158,1.0986122886681096,1.669091569287517,0.6365141682948128,83.03046986388439,517.6374378685821,15.24146014156766,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69,0.0,0,0.0,0.0,0.0,0.0
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,5,1,5,0,platform B,0.0,1,3.243575812957324,82.32,296.36,1.79,620.3133938745514,22.08744478353795,1.0,0.3076923076923077,0.0,0.0,0.0,0.0,517.6374378685821,15.24146014156766,3.243575812957324,1,1431.7934647926377,4.0,517.6374378685821,1.79,0.0,0,0.0,0.0,0.0,0.0
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,6,2,1,5,platform A,0.0,0,86.79,13.78,310.14,4.33,9257.87680428684,12.105925445178478,44.0,0.5069124423963134,1.0861623984311286,2.186626902172002,0.6928767397383337,84.53321581414684,997.87917153997,10.248394869395444,86.79,1,9257.87680428684,44.0,997.87917153997,4.33,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,6,2,1,5,platform A,0.0,0,31.925331263927667,13.78,310.14,4.33,3151.19682164644,11.691481859307816,14.0,0.4383218534752661,1.2202821662722372,2.2957787349829686,0.6901856760188042,82.10196708813325,997.87917153997,10.248394869395444,131.3435137989675,9,37060.724537813054,112.0,13437.568937225244,59.4,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,7,2,2,5,platform A,0.0,1,87.5,90.03,400.17,3.24,12267.1014945931,16.866320366930985,39.0,0.4456633527596846,0.9591824302739718,2.414769249082775,1.1650777242180048,148.18682104187994,123.65441953163858,5.729579828285695,174.29000000000002,2,21524.97829887994,83.0,1121.5335910716085,7.57,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,7,2,2,5,platform A,0.0,1,64.20971614671443,90.03,400.17,3.24,8187.352708093565,15.149926279773515,26.0,0.4048582995951417,0.7841675867636065,2.597252394358315,1.1593782087476527,138.41522216039215,123.65441953163858,5.729579828285695,93.81611118606816,7,25077.34809200112,60.0,11399.301727166698,51.7,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,8,2,3,5,platform A,0.0,1,7.253754260028253,88.7,488.87,1.2,1876.2122087474795,30.9013435845962,2.0,0.2754820936639118,0.0,0.0,0.0,0.0,243.04308277652797,15.390720722546186,164.47050068451944,14,47810.36474432617,132.0,15980.594621676448,71.21000000000001,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,8,2,3,5,platform A,0.0,1,11.26,88.7,488.87,1.2,2598.298900912404,27.53415783656264,3.0,0.2661934338952972,0.6931471805599453,3.2878032179557217,0.6931471805599453,327.71650723664783,243.04308277652797,15.390720722546186,185.55,3,24123.277199792345,86.0,1364.5766738481364,8.77,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,9,2,4,5,platform A,0.0,1,3.136484011482093,13.35,502.22,2.09,552.2770949911701,20.42177343085367,2.0,0.6349206349206349,0.0,0.0,0.0,0.0,471.8213800524966,20.411541180213117,153.2580683955736,12,43709.685408395126,127.0,15638.322671984068,69.09,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,9,2,4,5,platform A,0.0,1,10.57,13.35,502.22,2.09,2033.3330756985931,24.735118052673805,5.0,0.4725897920604915,1.039720770839918,1.8304029610990036,1.039720770839918,166.34579010806164,471.8213800524966,20.411541180213117,196.12,4,26156.610275490937,91.0,1836.398053900633,10.86,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,10,2,5,5,platform A,0.0,1,18.54,14.96,517.18,4.39,3182.1267342578244,18.66252727662813,6.0,0.3234501347708895,0.6730116670092565,3.388831657075931,0.9502705392332348,250.66388588065155,714.0432870375225,12.24342743532626,214.66,5,29338.73700974876,97.0,2550.4413409381555,15.25,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,10,2,5,5,platform A,0.0,1,5.288109168215497,14.96,517.18,4.39,1127.093937780048,25.0142054356592,1.0,0.1886792452830188,0.0,0.0,0.0,0.0,714.0432870375225,12.24342743532626,16.82310776641024,3,6725.9705622468055,14.0,4160.151231582968,19.18,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,11,2,6,5,platform A,0.0,1,5.56,20.8,537.98,2.26,1185.6754818286902,25.371533332108143,2.0,0.3590664272890485,0.0,0.0,0.0,0.0,661.3249873260568,13.04091974241581,220.22,6,30524.41249157745,99.0,3211.7663282642125,17.509999999999998,290.11999999999995,5,43171.001211112525,103.0,4533.794986070688,15.69
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,12,3,6,6,platform B,0.0,0,14.85,12.15,550.13,6.59,2911.082348341608,21.30069995334745,6.0,0.4037685060565276,1.0549201679861442,3.483202549378948,0.9502705392332348,229.40239722008715,1861.4456726098024,6.623060918259157,304.97,6,46082.083559454135,109.0,6395.24065868049,22.28,220.22,6,30524.41249157745,99.0,3211.7663282642125,17.509999999999998
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,12,3,6,6,platform B,0.0,0,5.906257281063951,12.15,550.13,6.59,1060.6938148263034,20.19150783432956,1.0,0.1689189189189189,0.0,0.0,0.0,0.0,1861.4456726098024,6.623060918259157,134.27357430255162,10,43759.82805907436,101.0,12552.08282783435,61.510000000000005,220.22,6,30524.41249157745,99.0,3211.7663282642125,17.509999999999998
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,13,3,7,6,platform B,0.0,1,5.782641151738805,18.24,568.37,3.39,1326.0407781734352,25.940677616149244,0.0,0.0,0.0,0.0,0.0,0.0,1069.361728585026,10.5273335839451,128.36731702148768,9,40848.74571073275,95.0,10690.637155224547,54.92000000000001,220.22,6,30524.41249157745,99.0,3211.7663282642125,17.509999999999998
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,13,3,7,6,platform B,0.0,1,8.15,18.24,568.37,3.39,1800.4076894460793,24.448569945675715,0.0,0.0,0.0,0.0,0.0,0.0,1069.361728585026,10.5273335839451,313.11999999999995,7,47882.491248900216,109.0,7464.602387265516,25.67,220.22,6,30524.41249157745,99.0,3211.7663282642125,17.509999999999998
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,14,3,8,6,platform B,0.0,1,3.77,9.93,578.3,1.78,782.0387568006653,23.21273966935848,0.0,0.0,0.0,0.0,0.0,0.0,153.27892474928714,4.747041731726946,316.89,8,48664.53000570088,109.0,7617.881312014803,27.450000000000003,220.22,6,30524.41249157745,99.0,3211.7663282642125,17.509999999999998
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,0,15,4,7,8,platform A,0.0,0,5.790902307187727,8.39,586.69,4.62,924.2454248937322,17.62383434454657,2.0,0.3448275862068966,0.0,0.0,0.0,0.0,1590.046274048295,8.971373349796963,170.26140299170717,15,49374.65776209695,136.0,17570.640895724744,75.83000000000001,316.89,8,48664.53000570088,109.0,7617.881312014803,27.450000000000003
20221019,P430,11,0-0,female,8,1,1,456,396.0,56,28,28,56,56,1,15,4,7,8,platform A,0.0,0,9.59,8.39,586.69,4.62,1564.2930177707735,18.96517128212066,4.0,0.4166666666666667,0.6365141682948128,2.7789566387405182,0.6365141682948128,206.9398279270888,1590.046274048295,8.971373349796963,229.81,7,32088.705509348227,103.0,4801.812602312507,22.13,316.89,8,48664.53000570088,109.0,7617.881312014803,27.450000000000003
